"Title","Artist","Year","TotalPlays"
"CAUGHT UP IN YOU",".38 Special",1982,82
"HOLD ON LOOSELY",".38 Special",1981,85
"ROCKIN' INTO THE NIGHT",".38 Special",1980,18
"ART FOR ARTS SAKE","10cc",1975,1
"KRYPTONITE","3 Doors Down",2000,13
"LOSER","3 Doors Down",2000,1
"WHEN I'M GONE","3 Doors Down",2002,6
"WHAT'S UP?","4 Non Blondes",1992,3
"TAKE ON ME","a-ha",1985,1
"BACK IN BLACK","AC/DC",1980,97
"BIG GUN","AC/DC",1993,6
"DIRTY DEEDS DONE DIRT CHEAP","AC/DC",1976,85
"FOR THOSE ABOUT TO ROCK","AC/DC",1981,46
"HARD AS A ROCK","AC/DC",1995,1
"HAVE A DRINK ON ME","AC/DC",1980,39
"HELLS BELLS","AC/DC",1980,74
"HIGHWAY TO HELL","AC/DC",1979,92
"IT'S A LONG WAY TO THE TOP","AC/DC",1975,39
"JAILBREAK","AC/DC",1984,1
"LET THERE BE ROCK","AC/DC",1977,3
"NIGHT PROWLER","AC/DC",1979,1
"ROCK AND ROLL AIN'T NOISE POLLUTION","AC/DC",1980,21
"SHOT DOWN IN FLAMES","AC/DC",1979,2
"T.N.T.","AC/DC",1975,66
"THUNDERSTRUCK","AC/DC",1990,34
"TOUCH TOO MUCH","AC/DC",1979,2
"WHO MADE WHO","AC/DC",1986,12
"WHOLE LOTTA ROSIE","AC/DC",1977,3
"YOU SHOOK ME ALL NIGHT LONG","AC/DC",1980,138
"HOW LONG","Ace",1974,1
"DOG ON A LEASH","Adelitas Way",2014,4
"ANGEL","Aerosmith",1987,12
"BACK IN THE SADDLE","Aerosmith",1976,39
"BIG TEN INCH","Aerosmith",1975,3
"CRAZY","Aerosmith",1993,7
"CRYIN'","Aerosmith",1993,15
"DRAW THE LINE","Aerosmith",1977,1
"DREAM ON","Aerosmith",1973,142
"DUDE (LOOKS LIKE A LADY)","Aerosmith",1987,42
"JADED","Aerosmith",2001,1
"JANIE'S GOT A GUN","Aerosmith",1989,34
"LAST CHILD","Aerosmith",1976,4
"LET THE MUSIC DO THE TALKING","Aerosmith",1985,1
"LIVIN' ON THE EDGE","Aerosmith",1993,27
"LOVE IN AN ELEVATOR","Aerosmith",1989,35
"MAMA KIN","Aerosmith",1973,5
"NO MORE NO MORE","Aerosmith",1975,2
"PINK","Aerosmith",1997,1
"RAG DOLL","Aerosmith",1987,47
"SAME OLD SONG AND DANCE","Aerosmith",1974,18
"SEASONS OF WITHER","Aerosmith",1974,2
"SWEET EMOTION","Aerosmith",1975,141
"TOYS IN THE ATTIC","Aerosmith",1975,2
"TRAIN KEPT A-ROLLIN'","Aerosmith",1974,15
"WALK THIS WAY","Aerosmith",1975,106
"WHAT IT TAKES","Aerosmith",1989,31
"HAND IN MY POCKET","Alanis Morissette",1995,1
"YOU OUGHTA KNOW","Alanis Morissette",1995,6
"BLACK VELVET","Alannah Myles",1989,1
"BILLION DOLLAR BABIES","Alice Cooper",1973,2
"EIGHTEEN","Alice Cooper",1971,4
"ELECTED","Alice Cooper",1973,1
"I'M EIGHTEEN","Alice Cooper",1971,24
"NO MORE MR. NICE GUY","Alice Cooper",1973,39
"SCHOOL'S OUT","Alice Cooper",1972,44
"UNDER MY WHEELS","Alice Cooper",1971,18
"WELCOME TO MY NIGHTMARE","Alice Cooper",1975,10
"DOWN IN A HOLE","Alice In Chains",1992,1
"MAN IN THE BOX","Alice In Chains",1990,13
"NO EXCUSES","Alice In Chains",1994,2
"ROOSTER","Alice In Chains",1992,2
"THEM BONES","Alice In Chains",1992,2
"WOULD?","Alice In Chains",1992,2
"AIN'T WASTIN' TIME NO MORE","Allman Brothers Band",1972,1
"BLUE SKY","Allman Brothers Band",1972,1
"GOOD CLEAN FUN","Allman Brothers Band",1990,2
"IN MEMORY OF ELIZABETH REED","Allman Brothers Band",1970,1
"JESSICA","Allman Brothers Band",1973,12
"MELISSA","Allman Brothers Band",1972,6
"MIDNIGHT RIDER","Allman Brothers Band",1970,21
"NO ONE TO RUN WITH","Allman Brothers Band",1994,3
"RAMBLIN' MAN","Allman Brothers Band",1973,34
"STATESBORO BLUES","Allman Brothers Band",1971,4
"A HORSE WITH NO NAME","America",1972,26
"SISTER GOLDEN HAIR","America",1975,19
"VENTURA HIGHWAY","America",1972,1
"DON'T BRING ME DOWN","Animals II",1966,1
"DON'T LET ME BE MISUNDERSTOOD","Animals II",1965,1
"HOLD YOUR HEAD UP","Argent",1972,11
"HEAT OF THE MOMENT","Asia",1982,37
"ONLY TIME WILL TELL","Asia",1982,3
"SO INTO YOU","Atlanta Rhythm Section",1976,1
